sentence	sentence_id	locale	reason
All'udire dei passi l'uomo cercò nasconder la donna.	1750636b95aa049545df22e834c0c71593d76b3db58e8467d1cd7de2f2a03ef5	it	grammar-or-spelling
Ma visto che il bambino dormiva.	08b0460e9edb69d184cdca6256d0c1205b2dec901f3c75e9377b97a5c65f4f03	it	grammar-or-spelling
Specializzato nei 10m piattaforma e 3m trampolino.	be5d1d9dc44de73732caafd68a5da92887d9997a284709fa3e30c63bfc145214	it	3m va letto "tre metri" oppure "tre emme"?
Dopo aver pratico numerosi anni la disciplina sportiva nuoto.	30de97a6ba295f7fb4aefeb634c69e60e8bf607aba68b841e59e7bc2cc45e3fc	it	grammar-or-spelling
La signorina Caporale aveva ricevuto un pugno su la bocca, formidabile.	3d2827775f6c2960960e1cebccc4b4a7f821996a87c9aaa1d30030e3f6f6a968	it	grammar-or-spelling
Dopo aver pratico numerosi anni la disciplina sportiva nuoto.	30de97a6ba295f7fb4aefeb634c69e60e8bf607aba68b841e59e7bc2cc45e3fc	it	grammar-or-spelling
E un'applicazione Web integrata nel catalogo per l'acquisizione e l'aggiornamento guidato dei metadati.	249e4e6265c1a2548da8f2a8457abcb604a3b27d4825b86baf8dfc1d9f8deeaa	it	grammar-or-spelling
Dopo aver pratico numerosi anni la disciplina sportiva nuoto.	30de97a6ba295f7fb4aefeb634c69e60e8bf607aba68b841e59e7bc2cc45e3fc	it	grammar-or-spelling
Nel 1984 Stallman diede inizio al progetto GNU.	5b971f9409fb47abe39952e458dc145ccd8df1bc5abfe05cd57c8ec2c40467a6	it	difficult-pronounce
Ma, la cosa forse più importante, era che nelle sepolture, accanto ai corpi, erano stati ritrovate pietre scheggiate.	3c45298525b4897ba2635611f2fdf444614cfa56ad17a03deb4f104d7517d25a	it	grammar-or-spelling
I Terrana, gli Zito, i Brusca, i Romano, i Troia, i Riolo-Matranga, i Celeste.	56115ea25268fbccd3ea593a2c20465ebe171bc39a9ef6a0e8d6eece025b377e	it	offensive-language
In beve si può affermare che il tuffo è uguale sia per lo stile libero, sia per la rana e sia per la farfalla.	3b1ba3a2768576e057fa5d6a31db72fbe343d8829cd5ff7cfe69d0cafd61492b	it	grammar-or-spelling
Il Ministero della Giustizia e il "Casier Judiciaire National" usano applicazioni basate su soluzioni open source.	5feaf20fc053d9e4baf166803019c93eea273a82e6afd52532fba5e0d88e08af	it	difficult-pronounce
È l'era in qui noi viviamo ed è detta anche era Quaternaria.	5456068b11209911c1d575290e4bdfdd4e2ad8752e002a86cb0f1462cd1b8aea	it	grammar-or-spelling
Questo grande affidamento alla scienza non darà mai risposte alla domanda a cui nessun filosofo a trovato una risposta.	6bebaacd720093f6f9838f8a083cb9acc54411d5f76ffede5e715d62ccfa177a	it	grammar-or-spelling
Ma subito l'orribile uomo si allontanò, andò via, e volgendosi sulla porta agitò l'ombrello.	6fabe0991ca5f2718e4cb83f6347b08332df9acdf97c5ec1ee0e63591cf7add9	it	grammar-or-spelling
